lastname|name|patronymic|date_of_birth|id
Герасимов|Евсей|Валерьевич|13.04.2013|343397421-4043
Тетерина|Анна|Макаровна|08.07.1981|879343089-8547
Носова|Марфа|Петровна|25.08.2020|718087335-5908
Лыткина|Синклитикия|Кирилловна|10.12.1955|221639689-1747
Воронцова|Агафья|Георгиевна|09.02.1901|661419008-9975
Мухин|Адам|Александрович|13.04.1974|757593473-4294
Силина|Тамара|Павловна|22.02.1985|477157125-9627
Григорьев|Спартак|Эдгарович|05.05.2016|648867599-1467
Быкова|Жанна|Наумовна|28.05.2004|259868705-9468
Попов|Остап|Вячеславович|09.06.1907|164427196-2287
Прохоров|Кирилл|Жоресович|16.12.1930|532457359-5474
Петрова|Фаина|Георгиевна|26.10.1938|129461654-8083
Дьячков|Антонин|Федосьевич|13.02.2004|849857308-4977
Воронова|Жанна|Аскольдовна|16.06.2008|383132111-8047
Попов|Пахом|Дмитриевич|30.12.1925|642629277-8718
Лихачев|Андрон|Демидович|29.08.2007|447100953-1100
Соколов|Селиверст|Данилович|15.01.1920|813510394-6049
Субботина|Нонна|Святославовна|05.04.2010|736463957-4956
Архипов|Семен|Богданович|04.12.1971|450116684-7912
Белозерова|Элеонора|Макаровна|17.05.1995|869097391-7565
Шарапова|Ия|Владиславовна|16.01.1948|848562182-7515
Никонов|Исай|Филиппович|29.04.1909|176361698-9832
Матвеева|Октябрина|Дмитриевна|30.05.1922|722568442-9132
Калашников|Герман|Гурьевич|26.09.1986|868325701-9264
Афанасьев|Юлиан|Ефстафьевич|14.11.1983|356227424-3033
Анисимов|Наркис|Филимонович|14.08.1970|685354724-6589
Фадеев|Трифон|Ерофеевич|12.03.1919|646097158-9446
Бобылева|Нина|Кузьминична|24.12.1978|467960472-8944
Шилов|Мартьян|Харлампович|18.12.1900|349803080-3514
Назаров|Самсон|Гордеевич|04.04.1904|226374609-2053
Силин|Фотий|Юльевич|01.09.1926|299532174-2161
Мельников|Эммануил|Феликсович|04.07.1987|133228838-6737
Соловьев|Виссарион|Ефимьевич|10.04.1970|955322098-4757
Калашников|Кузьма|Трофимович|21.02.1995|523125757-1296
Шубин|Руслан|Ефимьевич|06.12.1992|498231518-9942
Мясникова|Людмила|Руслановна|16.10.1915|435643098-1863
Мишин|Светозар|Гурьевич|23.08.1971|689587700-2971
Белозерова|Феврония|Вячеславовна|01.10.1984|295805945-1960
Соколова|Маргарита|Аркадьевна|27.10.2023|442353292-1266
Савельев|Станимир|Феодосьевич|12.12.2006|887787162-9754
Анисимов|Никодим|Георгиевич|22.07.1932|754542722-1636
Михайлов|Гаврила|Августович|26.03.1920|990693558-9430
Фомин|Тихон|Феофанович|28.09.1985|303283277-1344
Некрасов|Самсон|Даниилович|18.01.2014|670925673-2249
Архипов|Сергей|Аксёнович|31.12.2017|912781293-3831
Соболева|Надежда|Станиславовна|18.02.2013|378048782-2951
Степанов|Симон|Ефстафьевич|10.11.2008|698921950-8319
Гаврилов|Трифон|Тимурович|31.10.1945|977688498-6143
Громов|Ратибор|Зиновьевич|30.06.1944|691038761-9761
Титова|Светлана|Сергеевна|18.11.2019|896305005-2793
Воронцов|Севастьян|Антипович|21.02.1979|983346184-7514
Логинова|Вероника|Ждановна|21.04.1967|751497428-9785
Степанова|Элеонора|Ефимовна|26.03.1997|201921414-5164
Мухина|Марина|Георгиевна|15.10.1986|336438851-2182
Суворов|Селиван|Демидович|03.08.1972|435826000-4220
Воробьев|Феликс|Ерофеевич|23.10.1988|763122567-8383
Симонова|Евдокия|Львовна|23.06.1933|196363395-7460
Никитина|Ангелина|Георгиевна|04.07.1978|188607602-8242
Евдокимова|Кира|Тимуровна|15.05.1954|821320322-6891
Колобова|Нинель|Викторовна|18.01.1918|961160990-8228
Фомичев|Митофан|Эдгардович|07.06.1958|910431956-8327
Панов|Мечислав|Евсеевич|11.03.1912|466449557-9231
Устинов|Ладимир|Гавриилович|19.03.1931|766415585-2881
Зайцев|Ярополк|Германович|04.11.1953|759910332-2701
Муравьева|Агата|Аскольдовна|18.08.1925|915989221-1896
Карпова|Александра|Дмитриевна|26.05.1952|720265576-6697
Михеева|Маргарита|Кузьминична|08.04.1978|426327828-5884
Федотов|Адам|Архипович|25.07.1941|259371857-7221
Овчинникова|Алина|Геннадиевна|15.09.1958|899189886-7426
Кудрявцева|Лариса|Святославовна|11.10.1983|343703797-8796
Уваров|Савелий|Фадеевич|15.12.1900|740509971-1641
Дьячков|Ипат|Ефстафьевич|15.09.1991|521581686-8031
Тихонов|Силантий|Зиновьевич|03.07.1967|105908316-1639
Сазонова|Пелагея|Ильинична|01.08.1904|959566916-5712
Лаврентьева|Лора|Ефимовна|05.08.1942|458370800-1019
Рябова|Синклитикия|Тимофеевна|01.03.1961|415379193-5558
Сорокина|Ульяна|Валентиновна|05.03.1907|586098547-1974
Ершов|Артемий|Аксёнович|27.07.1951|890146805-9606
Агафонова|Ираида|Рудольфовна|21.02.1986|991747773-3231
Орлова|Оксана|Константиновна|29.08.1964|670975261-2626
Рябов|Ипат|Димитриевич|03.12.1940|465189077-5504
Белозеров|Януарий|Эдгарович|07.09.1951|879488707-2885
Суворов|Всеволод|Григорьевич|16.01.1904|800587202-4874
Кудрявцев|Ладимир|Данилович|18.11.1996|102817494-4280
Соболев|Степан|Филимонович|26.01.2002|907657215-4727
Калинин|Самуил|Гертрудович|15.03.1976|979523137-6037
Фомичева|Регина|Анатольевна|21.07.1963|957070948-3911
Лукина|Таисия|Александровна|14.06.1986|666600037-5946
Рогова|Светлана|Рубеновна|22.03.1934|937480192-3970
Некрасова|Марина|Андреевна|08.07.1945|705260707-8378
Веселов|Савелий|Фролович|24.04.1994|210699890-1131
Авдеева|Глафира|Рубеновна|30.01.2012|317190076-7502
Некрасова|Ангелина|Альбертовна|30.06.1912|268352428-8995
Субботина|Евдокия|Георгиевна|24.12.1959|892813423-5704
Самойлова|Ольга|Кирилловна|26.07.1970|722981673-7380
Гуляев|Василий|Августович|12.02.1905|669809873-4776
Ершова|Надежда|Тарасовна|21.02.1919|472460953-2922
Чернов|Вячеслав|Борисович|16.05.1955|452804509-3386
Калинина|Екатерина|Васильевна|09.09.1946|784892008-2889
Давыдов|Гостомысл|Глебович|20.07.1965|574359123-2301
Соловьев|Виссарион|Ефимьевич|10.04.1970|955322098-4757
Суворов|Всеволод|Григорьевич|16.01.1904|800587202-4874
Давыдов|Гостомысл|Глебович|20.07.1965|574359123-2301
Муравьева|Агата|Аскольдовна|18.08.1925|915989221-1896
Попов|Пахом|Дмитриевич|30.12.1925|642629277-8718
Ершов|Артемий|Аксёнович|27.07.1951|890146805-9606
Калашников|Кузьма|Трофимович|21.02.1995|523125757-1296
Мясникова|Людмила|Руслановна|16.10.1915|435643098-1863
Суворов|Всеволод|Григорьевич|16.01.1904|800587202-4874
Карпова|Александра|Дмитриевна|26.05.1952|720265576-6697
Белозерова|Элеонора|Макаровна|17.05.1995|869097391-7565
Тихонов|Силантий|Зиновьевич|03.07.1967|105908316-1639
Афанасьев|Юлиан|Ефстафьевич|14.11.1983|356227424-3033
Авдеева|Глафира|Рубеновна|30.01.2012|317190076-7502
Михеева|Маргарита|Кузьминична|08.04.1978|426327828-5884
Степанов|Симон|Ефстафьевич|10.11.2008|698921950-8319
Авдеева|Глафира|Рубеновна|30.01.2012|317190076-7502
Сорокина|Ульяна|Валентиновна|05.03.1907|586098547-1974
Архипов|Семен|Богданович|04.12.1971|450116684-7912
Афанасьев|Юлиан|Ефстафьевич|14.11.1983|356227424-3033
Попов|Евсей|Афанасьевич|15.07.1955|426327828-5884
Медведев|Мина|Ефимович|23.04.1943|991747773-3231
Калинин|Елисей|Фролович|08.04.1922|691038761-9761
Кулагин|Феоктист|Дорофеевич|12.10.1948|670925673-2249
Большакова|Алевтина|Филипповна|08.05.1977|299532174-2161
Петрова|Надежда|Валериевна|08.02.2013|164427196-2287
Мельникова|Ия|Матвеевна|17.12.1956|720265576-6697
Суханова|Лариса|Викторовна|14.06.1997|869097391-7565
Харитонова|Вероника|Вениаминовна|05.05.1957|133228838-6737
Самсонова|Фаина|Валериевна|17.06.2011|415379193-5558
Соболева|Любовь|Кузьминична|13.11.1959|736463957-4956
Дьячков|Святослав|Арсенович|20.06.1912|467960472-8944
Костин|Автоном|Жоресович|17.06.1920|435643098-1863
Александрова|Анастасия|Валентиновна|13.06.1932|343397421-4043
Кузнецова|Жанна|Вениаминовна|03.04.1971|586098547-1974
Третьяков|Касьян|Измаилович|17.12.1948|868325701-9264
Голубева|Октябрина|Натановна|27.04.2005|751497428-9785
Филиппов|Святослав|Денисович|28.07.1929|259868705-9468
Мишин|Влас|Димитриевич|09.09.2000|521581686-8031
Лыткин|Давыд|Игоревич|03.07.2000|821320322-6891
