lastname|name|patronymic|date_of_birth|id
Силин|Фотий|Юльевич|01.09.1926|299532174-2161|299532174-2161
Большакова|Алевтина|Филипповна|08.05.1977|299532174-2161|299532174-2161
Карпова|Александра|Дмитриевна|26.05.1952|720265576-6697|720265576-6697
Мельникова|Ия|Матвеевна|17.12.1956|720265576-6697|720265576-6697
Белозерова|Элеонора|Макаровна|17.05.1995|869097391-7565|869097391-7565
Суханова|Лариса|Викторовна|14.06.1997|869097391-7565|869097391-7565
Герасимов|Евсей|Валерьевич|13.04.2013|343397421-4043|343397421-4043
Александрова|Анастасия|Валентиновна|13.06.1932|343397421-4043|343397421-4043
Калинин|Елисей|Фролович|08.04.1922|691038761-9761|691038761-9761
Громов|Ратибор|Зиновьевич|30.06.1944|691038761-9761|691038761-9761
Кулагин|Феоктист|Дорофеевич|12.10.1948|670925673-2249|670925673-2249
Некрасов|Самсон|Даниилович|18.01.2014|670925673-2249|670925673-2249
Дьячков|Святослав|Арсенович|20.06.1912|467960472-8944|467960472-8944
Бобылева|Нина|Кузьминична|24.12.1978|467960472-8944|467960472-8944
Мельников|Эммануил|Феликсович|04.07.1987|133228838-6737|133228838-6737
Харитонова|Вероника|Вениаминовна|05.05.1957|133228838-6737|133228838-6737
Сорокина|Ульяна|Валентиновна|05.03.1907|586098547-1974|586098547-1974
Кузнецова|Жанна|Вениаминовна|03.04.1971|586098547-1974|586098547-1974
Михеева|Маргарита|Кузьминична|08.04.1978|426327828-5884|426327828-5884
Попов|Евсей|Афанасьевич|15.07.1955|426327828-5884|426327828-5884
Дьячков|Ипат|Ефстафьевич|15.09.1991|521581686-8031|521581686-8031
Мишин|Влас|Димитриевич|09.09.2000|521581686-8031|521581686-8031
Медведев|Мина|Ефимович|23.04.1943|991747773-3231|991747773-3231
Агафонова|Ираида|Рудольфовна|21.02.1986|991747773-3231|991747773-3231
Петрова|Надежда|Валериевна|08.02.2013|164427196-2287|164427196-2287
Попов|Остап|Вячеславович|09.06.1907|164427196-2287|164427196-2287
Калашников|Герман|Гурьевич|26.09.1986|868325701-9264|868325701-9264
Третьяков|Касьян|Измаилович|17.12.1948|868325701-9264|868325701-9264
Самсонова|Фаина|Валериевна|17.06.2011|415379193-5558|415379193-5558
Рябова|Синклитикия|Тимофеевна|01.03.1961|415379193-5558|415379193-5558
Костин|Автоном|Жоресович|17.06.1920|435643098-1863|435643098-1863
Мясникова|Людмила|Руслановна|16.10.1915|435643098-1863|435643098-1863
Логинова|Вероника|Ждановна|21.04.1967|751497428-9785|751497428-9785
Голубева|Октябрина|Натановна|27.04.2005|751497428-9785|751497428-9785
Филиппов|Святослав|Денисович|28.07.1929|259868705-9468|259868705-9468
Быкова|Жанна|Наумовна|28.05.2004|259868705-9468|259868705-9468
Лыткин|Давыд|Игоревич|03.07.2000|821320322-6891|821320322-6891
Евдокимова|Кира|Тимуровна|15.05.1954|821320322-6891|821320322-6891
Соболева|Любовь|Кузьминична|13.11.1959|736463957-4956|736463957-4956
Субботина|Нонна|Святославовна|05.04.2010|736463957-4956|736463957-4956
